Vecka,Måndag,,,Tisdag,,,Onsdag,,,Torsdag,,,Fredag,,,Lördag,,,Söndag,,,Övrig info & event,,Kurser       Lindy /Jazz,Tid och datum,Intresserade ledare,Kommentar,,
,Datum,kl. 18.00 - 20.00,kl. 20.00 -,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.30 - 20.00,kl. 20.00 - ,Datum,kl. 09.00 - 14.00,kl. 14.15 - 19.15,Datum,kl. 09.00 - 14.00,kl. 14.15 - 19.15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  *  = kan flyttas till lilla salen vid behov (om det är mindre antal anmälda och någon annan dans har fler anmälda) - Schemamöte mellan salerna 17 juni,,,,,,,,,,,,,,,,,,,,,,,Schemamöte + lindyledarutveckling tisdag 26 nov kl. 20.00 (deadline kursadmin 13 dec).,,,,,
,De lagda kurserna är endast förslag - kan flyttas runt vid behov (så länge inte alla FKA hamnar på samma veckodag t.ex.) både gällande vardagar och helg. T.ex. kan medel-kurserna också ges en helg istället för vardagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,07 april,GK 3,Socialdans,08 april,FKB 3,M 3 - tema *,09 april,Solo GK,,10 april,LFT,,11 april,,,12 april,,,13 april,,,,,A,,,,,
16,14 april,,Socialdans,15 april,FKB 3,M 3 - tema *,16 april,Solo GK,,17 april,LFT,,18 april,Easter Friday,No Classes,19 april,No Classes,No Classes,20 april,No Classes,No Classes,Easter Weekend,,Solo GK,V14-or 15 - TBA,Hanna,,,
17,21 april,GK 3,Socialdans,22 april,FKB 3,M 3 - tema *,23 april,Solo GK,,24 april,LFT,FKA 3,25 april,SAW,SAW,26 april,FKB 3,FKA 3,27 april,FKB 3,FKA 3,,,Solo FK,V20 - 25 (early),Sofie,If there an interest to do FK directly after GK?,,
18,28 april,GK 3,Socialdans,29 april,FKB 3,M 3 - tema *,30 april,Valborg,Valborg,01 maj,LFT,May day,02 maj,Minor Swing,Minor Swing,03 maj,Minor Swing,Minor Swing,04 maj,Minor Swing,Minor Swing,,,,,,,,
19,05 maj,GK 3,Socialdans,06 maj,FKB 3,M 3 - tema *,07 maj,Solo GK,,08 maj,LFT,FKA 3,09 maj,SAW,SAW,10 maj,GK 4,,11 maj,GK 4,,,,,,,,,
20,12 maj,GK 3,Socialdans,13 maj,M 4 - Choreo,M4 till kl. 20:00,14 maj,Solo FK,MA 2 *,15 maj,LFT,FKA 3,16 maj,,,17 maj,,,18 maj,,,,,,,,,,
21,19 maj,GK 4,Socialdans,20 maj,M 4 - Choreo,M4 till kl. 20:00,21 maj,Solo FK,MA 2 *,22 maj,LFT,FKA 3,23 maj,SAW,SAW,24 maj,,,25 maj,,,,,   Önskekurser utöver grundutbudet - VT25,,,,,
22,26 maj,GK 4,Socialdans,27 maj,M 4 - Choreo,M4 till kl. 20:00,28 maj,Solo FK,MA 2 *,29 maj,LFT,FKA 3,30 maj,"(Placeholder, Forum uthyrt ?)",,31 maj,,,01 juni,,,,,Big Apple,Weekend,,Marianne + ? to do Big Apple over a weekend,,
23,02 juni,GK 4,Socialdans,03 juni,M 4 - Choreo,M4 till kl. 20:00,04 juni,Solo FK,MA 2 *,05 juni,LFT,,06 juni,SAW,SAW,07 juni,,,08 juni,,,,,,,,,,
24,09 juni,GK 4,Socialdans,10 juni,M 4 - Choreo,M4 till kl. 20:00,11 juni,Solo FK,MA 2 *,12 juni,LFT,,13 juni,,,14 juni,,,15 juni,,,,,,,,,,
25,16 juni,GK 4,Socialdans,17 juni,,,18 juni,x,x,19 juni,LFT,x,20 juni,x,x,21 juni,x,x,22 juni,x,x,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,, Öppet hus,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Registreringen stänger,,,,,
,,,,,,,,,,,,,,,,,,,,,,,, Första kursdag,,,,,
